ethos	,                                            root
pathos	,                                            root
logos	,                                            root
ad-hominem,                                          ethos
justification,                                       logos
reasoning,                                           logos
Name calling/Labeling,                               ad-hominem
Doubt,                                               ad-hominem
Smears,                                              ad-hominem
Reductio ad hitlerum,                                ad-hominem
Whataboutism,                                        ad-hominem
Bandwagon,                                           ethos
Appeal to authority,                                 ethos
Glittering generalities (Virtue),                            ethos
appeal to emotion,                                   pathos
Exaggeration/Minimisation                                   pathos
Loaded Language,                                     pathos
Flag-waving,                                         pathos
Appeal to fear/prejudice,                            pathos
Bandwagon_1,                                         justification
Appeal to authority_1,                               justification
Flag-waving_1,                                       justification
Appeal to fear/prejudice_1  ,                                justification
Slogans,                                             justification
Repetition,                                          logos
Obfuscation, Intentional vagueness, Confusion  ,             logos
distraction,                                         reasoning
simplification,                                      reasoning
Misrepresentation of Someone's Position (Straw Man) ,        distraction
Presenting Irrelevant Data (Red Herring)     ,               distraction
Whataboutism_1,                                      distraction
Causal Oversimplification        ,                           simplification
Black-and-white Fallacy/Dictatorship  ,                      simplification
Thought-terminating cliché             ,                     simplification



